ID,AGE,VEHICLE_YEAR,GENDER,RACE,EDUCATION,INCOME,CREDIT_SCORE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,OUTCOME
569520,65+,after 2015,female,majority,high school,upper class,0.629027313918201,12000.0,0,0.0
750365,16-25,before 2015,male,majority,none,poverty,0.3577571170184627,16000.0,0,1.0
199901,16-25,before 2015,female,majority,high school,working class,0.4931457852181982,11000.0,0,0.0
478866,16-25,before 2015,male,majority,university,working class,0.2060128507324556,11000.0,0,0.0
731664,26-39,before 2015,male,majority,none,working class,0.3883658881572184,12000.0,2,1.0
877557,40-64,after 2015,female,majority,high school,upper class,0.6191273725847388,13000.0,3,0.0
930134,65+,after 2015,male,majority,high school,upper class,0.4929435502195342,13000.0,7,0.0
461006,26-39,after 2015,female,majority,university,working class,0.468689297434465,14000.0,0,1.0
68366,40-64,before 2015,female,majority,university,working class,0.5218149362971065,13000.0,0,0.0
445911,40-64,before 2015,female,majority,high school,upper class,0.5615310319383646,11000.0,0,1.0
275820,65+,after 2015,male,majority,high school,upper class,0.6203612640126029,10000.0,6,0.0
521399,65+,after 2015,female,majority,high school,upper class,0.7298308815593941,12000.0,4,0.0
429728,40-64,before 2015,male,majority,high school,upper class,0.6370447435902447,8000.0,4,0.0
569640,16-25,before 2015,female,majority,university,upper class,0.59125997174597,,0,0.0
980181,26-39,before 2015,male,majority,high school,middle class,0.4615679630439447,12000.0,0,0.0
906223,26-39,after 2015,female,majority,high school,upper class,0.7627979410816134,,0,0.0
517747,65+,before 2015,male,majority,university,upper class,0.7961748462456987,,10,0.0
24851,16-25,before 2015,male,majority,none,poverty,,12000.0,0,1.0
104086,26-39,before 2015,female,majority,university,upper class,0.6805942795073384,,0,1.0
240658,16-25,before 2015,female,majority,high school,working class,0.4177139816231188,18000.0,0,1.0
484399,16-25,before 2015,female,majority,high school,working class,0.4095135306516067,17000.0,0,1.0
912828,16-25,after 2015,male,majority,high school,middle class,0.5532600531952381,8000.0,0,1.0
892754,40-64,before 2015,male,majority,none,poverty,0.3309502618581893,13000.0,3,0.0
217,16-25,before 2015,male,majority,none,poverty,,17000.0,0,0.0
633896,65+,before 2015,male,majority,high school,upper class,0.5006306604427161,7000.0,13,0.0
193110,26-39,before 2015,female,majority,university,middle class,0.5519701813636283,14000.0,0,0.0
98515,40-64,before 2015,male,majority,high school,middle class,0.6269960497386653,13000.0,1,0.0
165623,26-39,before 2015,male,majority,none,poverty,0.2947974807719967,15000.0,0,0.0
493590,26-39,after 2015,male,majority,university,middle class,0.5519504952618395,17000.0,0,0.0
389792,65+,after 2015,male,majority,university,upper class,0.649820471216227,9000.0,0,1.0
